censustract,totalbuildinginsurancecoverage,policycount
48201252400,1523066000,9546
48201252500,678500600,3420
48201252600,888223200,4748
48201252601,127246000,608
48201252602,275483400,1254
48201252700,2174917400,10408
48201252800,1494514400,7842
48201252900,1072018400,5896
48201252901,197632800,918
48201252902,742090600,3438
48201253000,2067522200,12504
48201253100,1918274200,9744
48201253101,1026080400,4550
48201253102,869185000,3718
48201253200,3491041800,16678
48201253201,3507705200,14902
48201253202,507343000,2036
48201253300,3168116000,15018
48201253400,106619600,508
48201253500,1808019800,11240
48201253501,734119200,3386
48201253502,378971800,1980
48201253600,1929850800,8042
48201253601,1317322000,5282
48201253602,435857800,1170
48201253700,1513162600,7438
48201253800,2108989400,10828
48201253900,1993984400,9476
48201254000,1324053000,6954
48201254100,573909200,3742
48201254200,391345400,2228
48201254300,833693600,4130
48201254400,338658800,1476
48201254500,203437000,1226
48201254600,1084296000,5952
48201254700,1571237800,8472
48201254800,170815600,766
48201310100,624476600,2906
48201310101,296814000,1270
48201310102,129810000,534
48201310200,1120549200,5114
48201310300,619288600,2902
48201310400,329368000,1450
48201310500,243752600,1320
48201310600,608651400,3172
48201310700,1018150200,4686
48201310800,425536200,1756
48201310900,326001600,1696
48201311000,161920600,892
48201311001,34310000,130
48201311002,88884000,426
48201311100,263391000,1508
48201311200,572191000,2862
48201311300,261976200,1310
48201311400,192899600,984
48201311500,332581400,2030
48201311501,119354000,638
48201311502,82156400,370
48201311600,32000000,74
48201311700,356381800,1930
48201311701,207000000,958
48201311702,114728000,334
48201311800,502615800,2392
48201311900,366401800,1950
48201312000,1201931600,5440
48201312100,100000,10
48201312200,117110000,690
48201312300,450359400,2066
48201312400,172120000,858
48201312500,1496375400,6946
48201312501,669094000,2960
48201312502,204958000,928
48201312600,3365198400,13968
48201312601,75984000,286
48201312602,434349600,1792
48201312603,1327196400,5476
48201312700,646626200,2596
48201312800,173583800,728
48201312900,705493800,3140
48201312901,167056600,612
48201312902,385745800,1588
48201313000,842619000,3854
48201313100,3055196800,11440
48201313101,347932400,1404
48201313102,1681136200,5340
48201313200,1211062000,5330
48201313201,612896200,2532
48201313202,527525800,2204
