censustract,totalbuildinginsurancecoverage,policycount
48201540101,4383336200,17268
48201540102,1165144800,4784
48201540200,1336060400,8398
48201540300,200000,4
48201540501,664577800,3154
48201540502,5387994800,27108
48201540503,163894000,336
48201540504,414014000,2060
48201540601,2878713800,13852
48201540602,1653680600,8018
48201540700,4793074000,22556
48201540800,1615693000,7342
48201540900,500000,2
48201540901,2666471000,11662
48201540902,2086169000,9372
48201540903,125134000,506
48201540904,1640737800,6820
48201541000,800000,4
48201541001,1402426600,6836
48201541002,1979224000,9088
48201541003,3163979000,14012
48201541004,901268000,3920
48201541005,357556000,1596
48201541006,1214756000,5106
48201541007,1432074000,6064
48201541008,952898000,4010
48201541009,924928000,4064
48201541100,4016196200,18514
48201541200,1500000,6
48201541201,2629898400,11690
48201541202,1783023200,9016
48201541203,2901800600,12664
48201541204,584078000,2856
48201541205,881178000,3856
48201541206,984184000,4278
48201541207,1406368000,5724
48201541300,922366800,5494
48201541301,343324000,1648
48201541302,336736000,1812
48201541400,1980606400,10630
48201541401,598272000,2560
48201541402,322264000,1722
48201541403,229686000,1130
48201541404,425712600,2460
48201541500,1144213400,5934
48201541601,1835437400,8300
48201541602,1590016000,8248
48201541603,881386000,4342
48201541604,2534094600,10882
48201541700,1906634000,9116
48201541701,1130171000,4478
48201541702,117400000,426
48201541703,767608600,3088
48201541800,1495719200,7746
48201541801,526458000,2754
48201541802,585158600,1762
48201541900,1500125400,7242
48201541901,369202000,1534
48201541902,1035122200,4630
48201542000,2675146400,15614
48201542001,385168000,1950
48201542002,158004000,686
48201542003,296900000,1348
48201542004,1243978000,7102
48201542101,1493860800,8676
48201542102,1339473400,7400
48201542103,302560000,1460
48201542104,288742000,1468
48201542105,341271800,1550
48201542106,502280000,2490
48201542107,215970000,1126
48201542108,159348000,718
48201542200,2137163600,11422
48201542201,290472000,1582
48201542202,534306000,2440
48201542203,964138400,4310
48201542301,1987020000,10594
48201542302,1489679000,7628
48201542303,624785400,3074
48201542304,410542000,1842
48201542305,359030000,1662
48201542400,620013800,3578
48201542401,200930000,1068
48201542402,480992000,1888
48201542500,1774573800,7758
48201542600,1496422000,7092
48201542700,2253245800,10918
48201542800,5620451400,25556
48201542900,4802071800,22374
48201542901,1046192800,4878
48201542902,4564139400,19150
48201543001,4713409200,20128
48201543002,8531868400,36670
48201543003,1552949400,8666
48201543004,4133350000,16910
48201543005,1788085600,7438
48201543006,3271305600,13400
48201543007,6412435400,26788
48201543008,448568000,2040
48201543009,132132000,692
48201543010,173580000,906
48201543011,183056000,926
48201543100,532591400,2460
48201543200,2825580400,13674
48201543201,1344140200,5804
48201543202,1253500800,5368
48201550100,402358400,1308
48201550101,28524000,72
48201550102,420464200,1082
48201550200,238495000,824
48201550201,24142000,50
48201550202,10076000,60
48201550300,1073200,10
48201550301,62340000,242
48201550302,773970600,4332
48201550303,0,34
48201550304,16220000,72
48201550305,279284000,1480
48201550306,203460600,1044
48201550307,22238000,156
48201550308,48900000,154
48201550400,2600000,12
48201550401,763924600,3986
48201550402,801615800,4088
48201550403,23838000,140
48201550404,615496000,2772
48201550405,76207400,448
48201550406,81930000,366
48201550407,227948000,1076
48201550500,809360800,3266
48201550601,847786600,4798
48201550602,572857200,3108
48201550603,1076910000,5978
48201550700,1793857600,11396
48201550800,1689663000,10062
48201550900,1320757000,8628
48201550901,1050050600,6196
48201550902,243014000,1166
48201551000,278058000,1700
48201551100,783480200,4206
48201551101,163142000,728
48201551102,377841800,1852
48201551200,1287039600,6104
48201551201,436496000,1966
48201551202,604822000,2572
48201551300,1756054000,8450
48201551400,1978816200,8610
48201551500,1222156000,6280
48201551501,321525000,1694
48201551502,541305200,2522
48201551600,976651800,5622
48201551601,292380400,1612
48201551602,387508000,1852
48201551701,3424696000,17098
48201551702,3609880000,15478
48201551703,2850490800,14258
48201551704,1866114600,7872
48201551705,1100560800,5260
48201551800,8879065400,39566
48201551900,122168000,578
48201551901,0,28
48201551902,5600000,88
48201552001,1897677000,9444
48201552002,646334000,2760
48201552003,934504200,4010
48201552004,447087200,2074
48201552101,1148444000,5190
48201552102,4791523400,21954
48201552103,1257641200,6502
48201552200,2930040200,13660
48201552301,4018247000,18826
48201552302,1275294600,6108
48201552303,211228000,986
48201552304,887095600,3750
48201552400,1752226000,8652
48201552401,397188000,1770
48201552402,950160600,4266
48201552500,2276812400,12002
48201552501,621780000,2858
48201552502,1116340400,5362
48201552600,1750000,8
48201552601,505105400,2532
48201552602,4827158200,21270
48201552603,27064000,130
48201552604,367368600,1820
48201552700,1934307000,8862
48201552701,309474000,1398
48201552702,1714339200,6326
48201552800,4388120800,19100
48201552801,2794133800,11696
48201552802,1240140000,5192
48201552900,2904043600,13024
48201552901,299150000,1640
48201552902,1817000400,7436
48201553001,2482688800,10888
48201553002,3448055400,14910
48201553100,2028344800,9114
48201553101,1163838600,4350
48201553102,259837600,1148
48201553200,1412188400,6898
48201553201,503637000,2312
48201553202,281171600,1182
48201553300,247100000,678
48201553400,687200,6
48201553401,3816621800,16496
48201553402,2132864400,9732
48201553403,2740221400,11778
48201553404,922627400,3808
48201553405,847344600,3648
48201553500,2980176800,13844
48201553600,1552358600,6956
48201553601,1152893600,4784
48201553602,58546000,306
48201553700,5068426200,22154
48201553801,1899435000,7850
48201553802,1716668200,8176
48201553803,898848000,3736
48201553804,364534000,1732
48201553900,2857254800,12692
48201553901,1427031800,6242
48201554001,2059340400,8782
48201554002,4440171400,18280
48201554100,1000000,4
48201554101,465495600,2030
48201554102,1974485000,9820
48201554103,910248200,4126
48201554104,653429200,2858
48201554200,1051841800,5546
48201554201,458308000,2020
48201554202,437926000,2102
48201554300,800000,4
48201554301,8038994400,34212
48201554302,4282021200,17596
48201554400,2300000,10
48201554401,7795349800,33492
48201554402,5097172200,22944
48201554403,1982082600,9214
48201554404,2618222000,10732
48201554405,1018446000,4396
48201554406,877765800,3620
48201554407,1177044000,5082
48201554408,2965217800,12490
48201554409,3255953000,13440
48201554410,2047127400,8766
48201554500,5000000,20
48201554501,5760712200,24062
48201554502,5763182400,24936
48201554600,3675604800,15470
48201554700,2280110000,10270
48201554701,354390000,1536
48201554702,1462070200,6288
48201554801,2200179000,11264
48201554802,5453820800,23954
48201554803,1336051000,5586
48201554804,1287187400,5298
48201554805,922588400,4176
48201554806,135010000,596
48201554807,618026000,2886
48201554808,940244000,3852
48201554809,1626656200,6892
48201554900,4200000,20
48201554901,1290158200,6528
48201554902,3945531400,17048
48201554903,3567780400,15746
48201554904,392854000,1650
48201554905,1818972000,7438
48201554906,728789400,3260
48201554907,350000000,1626
48201554908,584603200,2646
48201555000,1322933400,6860
48201555001,307522000,1298
48201555002,743830000,3494
48201555100,1749266200,8952
48201555101,485510000,2226
48201555102,707013600,3250
48201555200,2484690000,11848
48201555300,1500000,6
48201555301,2707176400,11098
48201555302,4729681800,20156
48201555303,5896145800,24890
48201555304,1389532000,5746
48201555305,2742041000,11268
48201555401,894568800,3938
48201555402,992921800,5094
48201555403,546398000,2320
48201555404,466106600,2116
48201555501,2033594400,8506
48201555502,6708166200,29566
48201555503,2490553800,10290
48201555504,1100804800,4732
48201555505,1980968000,8198
48201555600,4131213000,17444
48201555701,3540432200,15380
48201555702,2642782000,11514
48201555703,893470000,3840
48201555704,1262372000,5168
48201556000,1687950800,8672
48201556100,1083109000,4474
48201980000,75592000,188
48201980100,20000000,72
48201980200,123226000,562
48201980300,7000000,16
48201980700,1331148000,5218
48339692402,2480000,12
48473680100,23500000,94
